id,title,authors,year,venue,type,category,author_role,awarded,doi,url,theme_ids,primary_theme,project_ids,software_ids,note
2024-domestic-conference-optimal-control-of-an-outdoor-air-handling-un,Optimal Control of an Outdoor Air Handling Unit System for Freeze Prevention in Winter,"Mun, J. Y.; Jo, H. G.; Kim, Y. S.; Kim, J. H.; Park, C. S.; Mun, J. H.; Park, Y. S.",2024,"Proceedings of the Fall Conference of the Korean Institute of Architectural Sustainable Environment and Building Systems, pp. 176-177. November 14-16, 2024, Jeju National University, Jeju.",conference-paper,domestic-conference,coauthor,true,,,hvac-control,hvac-control,fab-ut-optimization-2022,hvac-studio,
2024-domestic-conference-impact-analysis-of-geometry-input-simplificat,Impact Analysis of Geometry Input Simplification for Office Buildings in Seoul Using GIS,"Park, C. H.; Lee, S. J.; Jo, H. G.; Park, C. S.",2024,"Proceedings of the Fall Conference of the Korean Institute of Architectural Sustainable Environment and Building Systems, pp. 104-105. November 14-16, 2024, Jeju National University, Jeju.",conference-paper,domestic-conference,coauthor,false,,,building-energy-simulation;performance-evaluation,building-energy-simulation,existing-building-simulator-2024,eplussimple;semantic-idf,
2024-domestic-conference-comparison-of-simplified-and-detailed-geometr,Comparison of Simplified and Detailed Geometry Building Energy Models: Analysis of Energy Load Differences Depending on Shading Effect Representation,"Lee, S. J.; Park, C. H.; Jo, H. G.; Yoo, Y. S.; Kim, S. H.; Park, C. S.",2024,"Proceedings of the Fall Conference of the Architectural Institute of Korea, Vol. 44, No. 2, pp. 636-637. October 23-25, 2024, The-K Hotel Gyeongju, Gyeongju, Gyeongsangbuk-do.",conference-paper,domestic-conference,coauthor,false,,,building-energy-simulation;performance-evaluation,building-energy-simulation,existing-building-simulator-2024,eplussimple;semantic-idf,
2024-domestic-conference-comparison-of-geometry-input-simplification-m,Comparison of Geometry Input Simplification Methods for Dynamic Building Energy Models,"Park, C. H.; Lee, S. J.; Jo, H. G.; Yoo, Y. S.; Kim, S. H.; Park, C. S.",2024,"Proceedings of the Fall Conference of the Architectural Institute of Korea, Vol. 44, No. 2, pp. 634-635. October 23-25, 2024, The-K Hotel Gyeongju, Gyeongju, Gyeongsangbuk-do.",conference-paper,domestic-conference,coauthor,false,,,building-energy-simulation;performance-evaluation,building-energy-simulation,existing-building-simulator-2024,eplussimple;semantic-idf,
2024-domestic-conference-enhancing-the-scalability-of-physics-informed,Enhancing the Scalability of Physics-Informed Neural Network Control Models Through Dynamic Interconnection,"Mun, J. Y.; Jo, H. G.; Park, C. S.",2024,"Proceedings of the Fall Conference of the Architectural Institute of Korea, Vol. 44, No. 2, pp. 513-514. October 23-25, 2024, The-K Hotel Gyeongju, Gyeongju, Gyeongsangbuk-do.",conference-paper,domestic-conference,coauthor,false,,,uncertainty-ml;hvac-control;research-software,uncertainty-ml,fab-ut-optimization-2022,hvac-studio,
2024-domestic-conference-optimization-of-heating-coil-control-in-an-ou,Optimization of Heating Coil Control in an Outdoor Air Handling Unit System,"Mun, J. Y.; Jo, H. G.; Kim, Y. S.; Kim, J. H.; Park, C. S.; Mun, J. H.; Park, Y. S.",2024,"Proceedings of the Fall Conference of the Architectural Institute of Korea, Vol. 44, No. 2, pp. 482-483. October 23-25, 2024, The-K Hotel Gyeongju, Gyeongju, Gyeongsangbuk-do.",conference-paper,domestic-conference,coauthor,false,,,hvac-control,hvac-control,fab-ut-optimization-2022,hvac-studio,
2024-domestic-conference-uncertainty-analysis-of-building-energy-reduc,Uncertainty Analysis of Building Energy Reduction for Green Remodeling,"Kwon, S. O.; Jo, H. G.; Yoo, Y. S.; Kim, U. H.; Park, C. S.",2024,"Proceedings of the Fall Conference of the Architectural Institute of Korea, Vol. 44, No. 2, pp. 493-494. October 23-25, 2024, The-K Hotel Gyeongju, Gyeongju, Gyeongsangbuk-do.",conference-paper,domestic-conference,coauthor,false,,,green-retrofit;building-energy-simulation;uncertainty-ml,green-retrofit,green-remodeling-carbon-database-2022,co2-reduction-finder,
2024-domestic-conference-hybrid-modeling-of-cooling-towers-using-trans,Hybrid Modeling of Cooling Towers Using Transfer Learning,"Kim, J. H.; Kim, Y. S.; Jo, H. G.; Park, C. S.; Urabe, E.; Mun, J. H.; Gwak, J. H.; Shin, Y. K.; Park, Y. S.",2024,"Proceedings of the Spring Joint Conference of the Korean Operations Research and Management Science Society, Korean Institute of Industrial Engineers, and Korea Society for Simulation, pp. xx-xx. May 2-4, 2024, Yeosu Expo Convention Center, Yeosu.",conference-paper,domestic-conference,coauthor,false,,,hvac-control;uncertainty-ml,hvac-control,fab-ut-optimization-2022,,
2022-domestic-conference-real-time-model-predictive-control-of-energy,Real-Time Model Predictive Control of Energy Recovery Ventilation Systems in Sports Facilities Based on Occupancy Prediction Information,"Ra, S. J.; Jo, H. G.; Jeong, H.; Heo, T. W.; Park, C. S.",2022,"Proceedings of the Fall Conference of the Korean Institute of Architectural Sustainable Environment and Building Systems, pp. 149-150. November 25, 2022, Yonsei University, Seoul.",conference-paper,domestic-conference,coauthor,false,,,hvac-control,hvac-control,fab-ut-optimization-2022,hvac-studio,
2022-domestic-conference-method-for-deriving-the-net-coefficient-of-pe,Method for Deriving the Net Coefficient of Performance (net-COP) of Chillers Considering Building Operational Characteristics,"Kim, Y. S.; Kim, J. H.; Jo, H. G.; Park, C. S.",2022,"Proceedings of the Spring Conference of the Architectural Institute of Korea, Vol. 42, No. 2, pp. 387-388. October 26-28, 2022, Phoenix Jeju Seopjikoji, Jeju.",conference-paper,domestic-conference,coauthor,true,,,hvac-control;performance-evaluation,hvac-control,fab-ut-optimization-2022,hvac-studio,
2022-domestic-conference-cooling-optimal-control-of-an-outdoor-air-con,Cooling Optimal Control of an Outdoor Air Conditioning (OAC) System Combining the Dynamic Characteristics of Multiple Heat Source Equipment,"Kim, J. H.; Kim, Y. S.; Jo, H. G.; Urabe, E.; Gwak, J. H.; Park, Y. S.; Park, C. S.",2022,"Proceedings of the Spring Conference of the Architectural Institute of Korea, Vol. 42, No. 2, pp. 352-353. October 26-28, 2022, Phoenix Jeju Seopjikoji, Jeju.",conference-paper,domestic-conference,coauthor,false,,,hvac-control,hvac-control,fab-ut-optimization-2022,hvac-studio,
2022-domestic-conference-uncertainty-analysis-of-daylight-illuminance,Uncertainty Analysis of Daylight Illuminance Simulation Using Typical and Actual Weather Data,"Choi, S. H.; Jo, H. G.; Yoo, Y. S.; Park, C. S.",2022,"Proceedings of the Spring Conference of the Architectural Institute of Korea, Vol. 42, No. 1, pp. 394-395. April 28-29, 2022, The-K Hotel, Seoul.",conference-paper,domestic-conference,coauthor,false,,,daylighting;building-energy-simulation;uncertainty-ml,daylighting,light-hvac-optimization-2020,,
2021-domestic-conference-real-time-cooling-predictive-control-of-a-bui,Real-Time Cooling Predictive Control of a Building Using a Lumped Simulation Model,"Ra, S. J.; Kim, J. H.; Kim, Y. S.; Jo, H. G.; Shin, H. S.; Park, C. S.",2021,"Proceedings of the Fall Conference of the Architectural Institute of Korea, Vol. 41, No. 2, pp. 323-324. October 27-30, 2021, Yeosu Expo Convention Center, Yeosu, Jeollanam-do.",conference-paper,domestic-conference,coauthor,false,,,hvac-control;building-energy-simulation,hvac-control,fab-ut-optimization-2022,hvac-studio,
2021-domestic-conference-real-time-heating-control-of-a-factory-buildi,Real-Time Heating Control of a Factory Building Based on Indoor Temperature Prediction,"Ra, S. J.; Shin, H. S.; Kim, Y. S.; Jo, H. G.; Kim, J. H.; Park, C. S.",2021,"Proceedings of the Spring Conference of the Architectural Institute of Korea, Vol. 41, No. 1, pp. 309-310. April 21-23, 2021, International Convention Center Jeju, Seogwipo, Jeju-do.",conference-paper,domestic-conference,coauthor,true,,,hvac-control,hvac-control,fab-ut-optimization-2022,hvac-studio,
2021-domestic-conference-artificial-neural-network-based-forecasting-m,Artificial Neural Network-Based Forecasting Model for Global Horizontal Irradiance,"Kim, J. H.; Jo, H. G.; Kim, Y. S.; Shin, H. S.; Park, C. S.",2021,"Proceedings of the Spring Conference of the Architectural Institute of Korea, Vol. 41, No. 1, pp. 288-289. April 21-23, 2021, International Convention Center Jeju, Seogwipo, Jeju-do.",conference-paper,domestic-conference,coauthor,false,,,daylighting;uncertainty-ml,daylighting,light-hvac-optimization-2020,,
2020-domestic-conference-development-of-a-gis-based-energyplus-parser,Development of a GIS-Based EnergyPlus Parser,"Lee, D. H.; Ko, Y. D.; Yoo, Y. S.; Jo, H. G.; Kim, D. W.; Park, C. S.",2020,"Proceedings of the Fall Conference of the Korean Institute of Architectural Sustainable Environment and Building Systems, pp. 81-82. November 19-21, 2020, Korea National University of Transportation, Chungju.",conference-paper,domestic-conference,coauthor,true,,,building-energy-simulation;research-software,building-energy-simulation,existing-building-simulator-2024,eplussimple;semantic-idf,
2020-domestic-conference-evaluation-of-monthly-energy-use-repeatabilit,"Evaluation of Monthly Energy Use Repeatability in 10,750 Buildings","Ko, Y. D.; Lee, D. H.; Yoo, Y. S.; Jo, H. G.; Kim, D. W.; Park, C. S.",2020,"Proceedings of the Fall Conference of the Korean Institute of Architectural Sustainable Environment and Building Systems, pp. 145-146. November 19-21, 2020, Korea National University of Transportation, Chungju.",conference-paper,domestic-conference,coauthor,false,,,performance-evaluation,performance-evaluation,,,
2020-domestic-conference-building-energy-pattern-classification-based,Building Energy Pattern Classification Based on Robust Regression and Time-Series Clustering,"Lee, D. H.; Yoo, Y. S.; Ko, Y. D.; Jo, H. G.; Park, C. S.",2020,"Proceedings of the Fall Conference of the Architectural Institute of Korea, Vol. 40, No. 2, pp. 392-393. October 26-30, 2020, Yeosu Expo Convention Center, Yeosu. Online presentation.",conference-paper,domestic-conference,coauthor,false,,,building-energy-simulation,building-energy-simulation,,,
2020-domestic-conference-lighting-control-using-ddpg-reinforcement-lea,Lighting Control Using DDPG Reinforcement Learning,"Kim, Y. S.; Jo, H. G.; Shin, H. S.; Park, C. S.",2020,"Proceedings of the Fall Conference of the Architectural Institute of Korea, Vol. 40, No. 2, pp. 382-383. October 26-30, 2020, Yeosu Expo Convention Center, Yeosu. Online presentation.",conference-paper,domestic-conference,coauthor,false,,,daylighting;uncertainty-ml;hvac-control,daylighting,fab-ut-optimization-2022;light-hvac-optimization-2020,hvac-studio,
2020-domestic-conference-data-driven-back-estimation-method-for-buildi,Data-Driven Back-Estimation Method for Building Energy Input Variables,"Ko, Y. D.; Lee, D. H.; Yoo, Y. S.; Jo, H. G.; Park, C. S.",2020,"Proceedings of the Fall Conference of the Architectural Institute of Korea, Vol. 40, No. 2, pp. 384-385. October 26-30, 2020, Yeosu Expo Convention Center, Yeosu. Online presentation.",conference-paper,domestic-conference,coauthor,false,,,building-energy-simulation;uncertainty-ml,building-energy-simulation,,,
